1)NOTE: Values of ts are given by the following table:
New Task
Old Task 		To 32 Bit TSS 	To 16 Bit TSS 	To VM TSS
E8 cd 		CALL rel32 		1 		Call near, displacement relative to next instruction*1
FF /2 		CALL r/m32 		2 		Call near, indirect*1
9A cp 		CALL ptr16:32 		4 		Call intersegment, to full pointer given*1
9A cp 		CALL ptr16:32 		pm=22 		Call gate, same privilege*1
9A cp 		CALL ptr16:32 		pm=44 		Call gate, more privilege, no parameters*1
9A cp 		CALL ptr16:32 		pm=45+2x 	Call gate, more privilege, x parameters*1
9A cp 		CALL ptr16:32 		pm=21+ts 	Call to task*1
FF /3 		CALL m16:32 		5 		Call intersegment, address at r/m dword*1
FF /3 		CALL m16:32 		pm=22 		Call gate, same privilege*1
FF /3 		CALL m16:32 		pm=44 		Call gate, more privilege, no parameters*1
FF /3 		CALL m16:32 		pm=45+2x 	Call gate, more privilege, x parameters*1
FF /3 		CALL m16:32 		pm=21+ts 	Call to task*1
98 		CBW 			3 		AX ¬ sign-extend of AL
98 		CWDE 			3 		EAX ¬ sign-extend of AX
F8 		CLC 			2 		Clear carry flag
FC 		CLD 			2 		Clear direction flag; SI and DI will increment during string instructions
FA 		CLI 			7 		Clear interrupt flag; interrupts disabled when interrupt flag cleared
0F 06 		CLTS 			10 		Clear task-switched flag
F5 		CMC 			2 		Complement carry flag
3C ib 		CMP AL,imm8 		1 		Compare immediate byte to AL
3D iw 		CMP AX,imm16 		1 		Compare immediate word to AX
3D id 		CMP EAX,imm32 		1 		Compare immediate dword to EAX
80 /7 ib 	CMP r/m8,imm8 		1/2 		Compare immediate byte to r/m byte
81 /7 iw 	CMP r/m16,imm16 	1/2 		Compare immediate word to r/m word
81 /7 id 	CMP r/m32,imm32 	1/2 		Compare immediate dword to r/m dword
83 /7 ib 	CMP r/m16,imm8 		1/2 		Compare sign extended immediate byte to r/m word
83 /7 ib 	CMP r/m32,imm8 		1/2 		Compare sign extended immediate byte to r/m dword
38 /r 		CMP r/m8,r8 		1/2 		Compare byte register to r/m byte
39 /r 		CMP r/m16,r16 		1/2 		Compare word register to r/m word
39 /r 		CMP r/m32,r32 		1/2 		Compare dword register to r/m dword
3A /r 		CMP r8,r/m8 		1/2 		Compare r/m byte to byte register
3B /r 		CMP r16,r/m16 		1/2 		Compare r/m word to word register
3B /r 		CMP r32,r/m32 		1/2 		Compare r/m dword to dword register
A6 		CMPS m8,m8 		5 		Compare bytes ES:[(E)DI] (second operand) with [(E)SI] (first operand)
A7 		CMPS m16,m16 		5 		Compare words ES:[(E)DI] (second operand) with [(E)SI] (first operand)
A7 		CMPS m32,m32 		5 		Compare dwords ES:[(E)DI] (second operand) with [(E)SI] (first operand)
A6 		CMPSB 			5 		Compare bytes ES:[(E)DI] with DS:[SI]
A7 		CMPSW 			5 		Compare words ES:[(E)DI] with DS:[SI]
A7 		CMPSD 			5 		Compare dwords ES:[(E)DI] with DS:[SI]
0F B0/r 	CMPXCHG r/m8,r8 	6 		Compare AL with r/m byte. If equal, set ZF and load byte reg into r/m byte. Else, clear ZF and load r/m byte into AL.
0F B1/r 	CMPXCHG r/m16,r16 	6 		Compare AX with r/m word. If equal, set ZF and load word reg into r/m word. Else, clear ZF and load r/m word into AX.
0F B1/r 	CMPXCHG r/m32,r32 	6 		Compare EAX with r/m dword. If equal, set ZF and load dword reg into r/m dword. Else, clear ZF and load r/m dword into EAX.
0F C7 /1 m64 	CMPXCHG8B r/m64 	10 		Compare EDX:EAX with r/m qword. If equal, set ZF and load ECX:EBX into r/m qword. Else, clear ZF and load r/m qword into EDX:EAX.
0F A2 		CPUID 			14 		EAX ¬ CPU identification information
99 		CWD 			2 		DX ¬ sign-extend of AX
99 		CDQ 			2 		EDX ¬ sign-extend of EAX
27 		DAA 			3 		Decimal adjust AL after addition
2F 		DAS 			3 		Decimal adjust AL after subtraction
FE /1 		DEC r/m8 		1/3 		Decrement r/m byte by 1
FF /1 		DEC r/m16 		1/3 		Decrement r/m word by 1
FF /1 		DEC r/m32 		1/3 		Decrement r/m dword by 1
48+rw 		DEC r16 		1 		Decrement word register by 1
48+rd 		DEC r32 		1 		Decrement dword register by 1
F6 /6 		DIV AL,r/m8 		17 		Unsigned divide AX by r/m byte (AL=Quo,AH=Rem)
F7 /6 		DIV AX,r/m16 		25 		Unsigned divide DX:AX by r/m word (AX=Quo, DX=Rem)
F7 /6 		DIV EAX,r/m32 		41 		Unsigned divide EDX:EAX by r/m dword (EAX=Quo, EDX=Rem)
C8 iw 00 	ENTER imm16,0 		11 		Make procedure stack frame
C8 iw 01 	ENTER imm16,1 		15 		Make stack frame for procedure parameters
C8 iw ib 	ENTER imm16,imm8 	15+2imm8 	Make stack frame for procedure parameters
D9 F0 		F2XM1 			13-57 		Replace ST with (2ST–1)
D9 E1 		FABS 			1 		Replace ST with its absolute value.
D8 /0 		FADD m32 real 		3/1 		Add m32real to ST.
DC /0 		FADD m64real 		3/1 		Add m64real to ST.
D8 C0+i 	FADD ST, ST(i) 		3/1 		Add ST(i) to ST.
DC C0+i 	FADD ST(i), ST 		3/1 		Add ST to ST(i).
DE C0+i 	FADDP ST(i), ST 	3/1 		Add ST to ST(i) and pop ST.
DE C1 		FADDP 			3/1 		Add ST to ST(1) and pop ST.
DA /0 		FIADD m32int 		7/4 		Add m32int to ST.
DE /0 		FIADD m16int 		7/4 		Add m16int to ST]
DF /4 		FBLD m80 dec 		48-58 		Push m80dec onto the FPU stack.
DF /6 		FBSTP m80dec 		148-154 	Store ST in m80dec and pop ST.
D9 E0 		FCHS 			1 		Replace ST with a value of opposite sign.
9B DB E2 	FCLEX 			9 + at least 1for FWAIT		Clear floating-point exception flags after checking for floating-point error conditions.*2
DB E2 		FNCLEX 			9 		Clear floating-point exception flags without checking for floating-point error conditions.*2
D8 /2 		FCOM m32real 		4/1 		Compare ST with m32real.
DC /2 		FCOM m64real 		4/1 		Compare ST with m64real.
D8 D0+i 	FCOM ST(i) 		4/1 		Compare ST with ST(i).
D8 D1 		FCOM 			4/1 		Compare ST with ST(1).
D8 /3 		FCOMP m32real 		4/1 		Compare ST with m32real and pop ST.
DC /3 		FCOMP m64real 		4/1 		Compare ST with m64real and pop ST.
D8 D8+i 	FCOMP ST(i) 		4/1 		Compare ST with ST(i) and pop ST.
D8 D9 		FCOMP 			4/1 		Compare ST with ST(1) and pop ST.
DE D9 		FCOMPP 			4/1 		Compare ST with ST(1) and pop ST twice
D9 FF 		FCOS 			18-124 		Replace ST with its cosine
D9 F6 		FDECSTP 		1 		Decrement top-of-stack pointer for FPU register stack.
D8 /6 		FDIV m32real 		39 		Divide ST by m32real.
DC /6 		FDIV m64real 		39 		Divide ST by m64real.
D8 F0+i 	FDIV ST, ST(i) 		39 		Divide ST by ST(i)
DC F8+i 	FDIV ST(i), ST 		39 		Replace ST(i) with ST(i) ? ST
DE F8+i 	FDIVP ST(i), ST 	39 		Replace ST(i) with ST(i) ? ST; pop ST.
DE F9 		FDIVP 			39 		Replace ST(1) with ST(1) ? ST; pop ST.
DA /6 		FIDIV m32int 		42 		Divide ST by m32int.
DE /6 		FIDIV m16int 		42 		Divide ST by m16int.
D8 /7 		FDIVR m32real 		39 		Replaces ST with m32real ? ST.
DC /7 		FDIVR m64real 		39 		Replace ST with m64real ? ST.
D8 F8+i 	FDIVR ST, ST(i) 	39 		Replace ST by ST(i) ? ST.
DC F0+i 	FDIVR ST(i), ST 	39 		Divide ST(i) = ST ? ST(i).
DE F0+i 	FDIVRP ST(i), ST 	39 		Divide ST(i) = ST ? ST(i) and pop ST.
DE F1 		FDIVRP 			39 		Divide ST(1) = ST ? ST(1) and pop ST.
DA /7 		FIDIVR m32int 		42 		Replace ST with m32int ? ST.
DE /7 		FIDIVR m16int 		42 		Replace ST with m16int ? ST.
DD C0+i 	FFREE ST(i) 		1 		Tag ST(i) as empty.
DE /2 		FICOM m16int 		8/4 		Compare ST with m16int.
DA /2 		FICOM m32int 		8/4 		Compare ST with m32int.
DE /3 		FICOMP m16int 		8/4 		Compare ST with m16int and pop ST.
DA /3 		FICOMP m32int 		8/4 		Compare ST with m32int and pop ST.
DF /0 		FILD m16int 		3/1 		Push m16int onto the FPU stack.
DB /0 		FILD m32int 		3/1 		Push m32int onto the FPU stack.
DF /5 		FILD m64int 		3/1 		Push m64int onto the FPU stack.
D9 F7 		FINCSTP 		1 		Increment top-of-stack pointer for FPU register stack.
9B DB E3 	FINIT 			16 		Initialize FPU after checking for unmasked floating-point error condition.*2
DB E3 		FNINIT 			12 		Initialize FPU without checking for unmasked floating-point error condition.*2
DF /2 		FIST m16int 		6 		Store ST in m16int.
DB /2 		FIST m32int 		6 		Store ST in m32int.
DF /3 		FISTP m16int 		6 		Store ST in m16int and pop ST.
DB /3 		FISTP m32int 		6 		Store ST in m32int and pop ST.
DF /7 		FISTP m64int 		6 		Store ST in m64int and pop ST.
D9 /0 		FLD m32real 		1 		Push m32real onto the FPU stack.
DD /0 		FLD m64real 		1 		Push m64real onto the FPU stack.
DB /5 		FLD m80real 		3 		Push m80real onto the FPU stack.
D9 C0+i 	FLD ST(i) 		1 		Push ST(i) onto the FPU stack.
D9 E8 		FLD1 			2/2 		Push +1.0 onto the FPU Stack.
D9 E9 		FLDL2T 			5/3 		Push log210 onto the FPU Stack.
D9 EA 		FLDL2E 			5/3 		Push log2e onto the FPU Stack.
D9 EB 		FLDPI 			5/3 		Push p onto the FPU Stack.
D9 EC 		FLDLG2 			5/3 		Push log102 onto the FPU Stack.
D9 ED 		FLDLN2 			5/3 		Push loge2 onto the FPU Stack.
D9 EE 		FLDZ 			2/2 		Push +0.0 onto the FPU Stack.
D9 /5 		FNLDCW m2byte 		7 		Load FPU control word from m2byte.
D9 /4 		FLDENV m14/28byte 	rm or vm=37 16 bit pm=32 32 bit pm=33	Load FPU environment from m14byte or m28byte.
D8 /1 		FMUL m32real 		3/1 		Multiply ST by m32real.
DC /1 		FMUL m64real 		3/1 		Multiply ST by m64real.
D8 C8+i 	FMUL ST, ST(i) 		3/1 		Multiply ST by ST(i)
DC C8+i 	FMUL ST(i), ST 		3/1 		Multiply ST(i) by ST.
DE C8+i 	FMULP ST(i), ST 	3/1 		Multiply ST(i) by ST and pop ST.
DE C9 		FMULP 			3/1 		Multiply ST(1) by ST and pop ST.
DA /1 		FIMUL m32int 		7/4 		Multiply ST by m32int.
DE /1 		FIMUL m16int 		7/4 		Multiply ST by m16int.
D9 D0 		FNOP 			1 		No operation is performed.
D9 F3 		FPATAN 			17-173 		Replace ST(1) with arctan(ST(1) ? ST) and pop ST.
D9 F8 		FPREM 			16-64 		Replace ST with the remainder obtained on dividing ST by ST(1).
D9 F5 		FPREM1 			20-70 		Replace ST with the remainder obtained on dividing ST by ST(1).
D9 F2 		FPTAN 			17-173 		Replace ST with its tangent and push 1 onto the FPU stack.
D9 FC 		FRNDINT 		9-20 		Round ST to an integer.
DD /4 		FRSTOR m94/108byte 	16 bit rm or vm= 75 32 bit rm or vm= 95 pm = 70 	Load FPU state from m94byte or m108byte.
9B DD /6 	FSAVE m94/108byte 	6 bit rm or vm=127 32 bit rm or vm=151 pm=124; + at least 3 for FWAIT Store FPU state to m94byte or m108byte after checking for unmasked floating-point error condition. Then re-initialize the FPU.*2
DD /6 		FNSAVE m94/108byte 	16 bit rm or vm=127 32 bit rm or vm=151 pm=124	Store FPU state to m94byte or m108byte without checking for unmasked floating-point error condition.* Then re-initialize the FPU.*2
D9 FD 		FSCALE 			20-31 		Scale ST by ST(1).
D9 FE 		FSIN 			16-126 		Replace ST with its sine.
D9 FB 		FSINCOS 		17-137 		Compute the sine and cosine of ST; replace ST with the sine, and then push the cosine onto the FPU stack.
D9 FA 		FSQRT 			70 		Replace ST with its square root.
D9 /2 		FST m32real 		2 		Copy ST to m32real .
DD /2 		FST m64real 		2 		Copy ST to m64real.
DD D0+i 	FST ST(i) 		1 		Copy ST to ST(i).
D9 /3 		FSTP m32real 		2 		Copy ST to m32real and pop ST.
DD /3 		FSTP m64real 		2 		Copy ST to m64real and pop ST.
DB /7 		FSTP m80real 		3 		Copy ST to m80real and pop ST.
DD D8+i 	FSTP ST(i) 		1 		Copy ST to ST(i) and pop ST.
9B D9 /7 	FSTCW m2byte 		2 + at least 1 for 	FWAIT Store FPU control word to m2byte after checking for unmasked floating-point error condition*2
D9 /7 		FNSTCW m2byte 		2 		Store FPU control word to m2byte without checking for unmasked floating-point error condition.*2
9B D9 /6 	FSTENV m14/28byte 	16 bit rm or vm=50;32 bit rm or vm=48;16 bit pm=49;32 bit pm =50; + at least 3 for FWAIT Store FPU environment to m14byte or m28byte after checking for unmasked floating-point error condition. Then mask all floating-point exceptions.*2
D9 /6 		FNSTENV m14/28byte 	16 bit rm or vm=50;32 bit rm or vm=48;16 bit pm=49;32 bit pm=50	Store FPU state to m14byte or m28byte without checking for unmasked floating-point error condition.* Then mask all floating-point exceptions.*2
9B DD /7 	FSTSW m2byte 		2 + at least 3 for FWAIT	Store FPU status word to mbyte after checking for unmasked floating-point error condition.*2
9B DF E0 	FSTSW AX 		2 + at least 3 for FWAIT	Store FPU status word to AX register after checking for unmasked floating-point error condition.*2
DD /7 		FNSTSW m2byte 		2 		Store FPU status word to m2byte without checking for unmasked floating-point error condition. *2
DF E0 		FNSTSW AX 		2 		Store FPU status word to AX register without checking for unmasked floating-point error condition.*2
D8 /4 		FSUB m32real 		3/1 		Subtract m32real from ST.
DC /4 		FSUB m64real 		3/1 		Subtract m64real from ST.
D8 E0+i 	FSUB ST, ST(i) 		3/1 		Subtract ST(i) from ST®ST0.
DC E8+i 	FSUB ST(i), ST 		3/1 		Replace ST(i) with ST –ST(i).
DE E8+i 	FSUBP ST(i), ST 	3/1 		Replace ST(i) with ST –ST(i); pop ST.
DE E9 		FSUBP 			3/1 		Replace ST(i) with ST –ST(i); pop ST.
DA /4 		FISUB m32int 		7/4 		Subtract m32int from ST.
DE /4 		FISUBm16int 		7/4 		Subtract m16int from ST.
D8 /5 		FSUBR m32real 		3/1 		Replace ST with m32real – ST.
DC /5 		FSUBR m64real 		3/1 		Replace ST with m64real – ST.
D8 E8+i 	FSUBR ST, ST(i) 	3/1 		Replace ST with ST(i) – ST.
DC E0+i 	FSUBR ST(i), ST 	3/1 		Subtract ST from ST(i)®ST(i).
DE E0+i 	FSUBRP ST(i), ST 	3/1 		Subtract ST from ST(i) and pop ST.
DE E1 		FSUBRP 			3/1 		Subtract ST from ST(1) and pop ST.
DA /5 		FISUBR m32int 		7/4 		Replace ST with m32int – ST.
DE /5 		FISUBR m16int 		7/4 		Replace ST with m16int – ST.
D9 E4 		FTST 			4/1 		Compare ST with 0.0.
DD E0+i 	FUCOM ST(i) 		4/1 		Compare ST with ST(i).
DD E1 		FUCOM 			4/1 		Compare ST with ST(1).
DD E8+i 	FUCOMP ST(i) 		4/1 		Compare ST with ST(i) and pop ST.
DD E9 		FUCOMP 			4/1 		Compare ST with ST(1) and pop ST.
DA E9 		FUCOMPP 		4/1 		Compare ST with ST(1) and pop ST twice.
9B 		FWAIT 			(1-3) 		Alias for WAIT.
D9 E5 		FXAM 			21 		Report the type of object in the ST register.
D9 C8+i 	FXCH ST(i) 		1 		Exchange the contents of ST and ST(i).
D9 C9 		FXCH 			1 		Exchange the contents of ST and ST(1).
D9 F4 		FXTRACT 		13 		Separate ST into its exponent and significand; replace ST with the exponent and then push the significand onto the FPU stack.
D9 F1 		FYL2X 			22-111 		Replace ST(1) with ST(1) ? log2ST and pop ST.
D9 F9 		FYL2XP1 		22-103 		Replace ST(1) with ST(1) ? log2(ST+1.0) and pop ST.
F4 		HLT 			? 		Halt
F6 /7 		IDIV AL,r/m8 		22 		Signed divide AX (where AH must contain signextension of AL) by r/m byte. (Results: AL=Quo, AH=Rem)
F7 /7 		IDIV AX,r/m16 		30 		Signed divide DX:AX (where DX must contain sign-extension of AX) by r/m word. (Results: AX=Quo, DX=Rem)
F7 /7 		IDIV EAX,r/m32 		46 		Signed divide EDX:EAX (where EDX must contain sign-extension of EAX) by r/m dword. (Results: EAX=Quo, EDX=Rem)
F6 /5 		IMUL r/m8 		11 		AX¬ AL * r/m byte
F7 /5 		IMUL r/m16 		11 		DX:AX ¬ AX * r/m word
F7 /5 		IMUL r/m32 		10 		EDX:EAX ¬ EAX * r/m dword
0F AF /r 	IMUL r16,r/m16 		10 		word register ¬ word register * r/m word
0F AF /r 	IMUL r32,r/m32 		10 		dword register ¬ dword register * r/m dword
6B /r ib 	IMUL r16,r/m16,imm8 	10 		word register ¬r/m16 * sign-extended immediate byte
6B /r ib 	IMUL r32,r/m32,imm8 	10 		dword register ¬r/m32 * sign-extended immediate byte
6B /r ib 	IMUL r16,imm8 		10 		word register ¬ word register * sign-extended immediate byte
6B /r ib 	IMUL r32,imm8 		10 		dword register ¬ dword register * sign-extended immediate byte
69 /r iw 	IMUL r16,r/ m16,imm16 	10 		word register ¬r/m16 * immediate word
69 /r id 	IMUL r32,r/ m32,imm32 	10 		dword register ¬r/m32 * immediate dword
69 /r iw 	IMUL r16,imm16 		10 		word register ¬r/m16 * immediate word
69 /r id 	IMUL r32,imm32 		10 		dword register ¬r/m32 * immediate dword
E4 ib 		IN AL,imm8 		7,pm=4*/21**,vm=19 	Input byte from immediate port into AL
E5 ib 		IN AX,imm8 		7,pm=4*/21**,vm=19 	Input byte from immediate port into AX
E5 ib 		IN EAX,imm8 		7,pm=4*/21**,vm=19 	Input byte from immediate port into EAX
EC 		IN AL,DX 		7,pm=4*/21**,vm=19 	Input byte from port DX into AL
ED 		IN AX,DX 		7,pm=4*/21**,vm=19 	Input word from port DX into AX
ED 		IN EAX,DX 		7,pm=4*/21**,vm=19 	Input dword from port DX into EAX
FE /0 		INC r/m8 		1/3 		Increment r/m byte by 1
FF /0 		INC r/m16 		1/3 		Increment r/m word by 1
FF /0 		INC r/m32 		1/3 		Increment r/m dword by 1
40+ rw 		INC r16 		1 		Increment word register by 1
40+ rd 		INC r32 		1 		Increment dword register by 1
6C 		INS m8,DX 		9,pm=6*/24**,VM=22 	Input byte from port DX into ES:(E)DI
6D 		INS m16,DX 		9,pm=6*/24**,VM=22 	Input word from port DX into ES:(E)DI
6D 		INS m32,DX 		9,pm=6*/24**,VM=22 	Input dword from port DX into ES:(E)DI
6C 		INSB 			9,pm=6*/24**,VM=22 	Input byte from port DX into ES:(E)DI
6D 		INSW 			9,pm=6*/24**,VM=22 	Input word from port DX into ES:(E)DI
6D 		INSD 			9,pm=6*/24**,VM=22 	Input dword from port DX into ES:(E)D
CC 		INT 3 			13 		Interrupt 3—trap to debugger
CC 		INT 3 			27 		Interrupt 3—Protected Mode, same privilege
CC 		INT 3 			44 		Interrupt 3—Protected Mode, more privilege
CC 		INT 3 			56 		Interrupt 3—from V86 mode to PL 0
CC 		INT 3 			19+TS 		Interrupt 3—Protected Mode, via task gate
CD ib 		INT imm8 		16 		Interrupt numbered by immediate byte
CD ib 		INT imm8 		31 		Interrupt—Protected Mode, same privilege
CD ib 		INT imm8 		48 		Interrupt—Protected Mode, more privilege
CD ib 		INT imm8 		82 		Interrupt—from V86 mode to PL 0
CD ib 		INT imm8 		23+TS 		Interrupt—Protected Mode, via task gate
CE 		INTO 			Pass: 13,Fail: 4 	Interrupt 4—if overflow flag is 1
CE 		INTO 			Pass: 27,Fail: 4 	Interrupt 4—Protected Mode, same privilege
CE 		INTO 			Pass: 44,Fail: 4 	Interrupt 4—Protected Mode, more privilege
CE 		INTO 			Pass: 56,Fail: 4 	Interrupt 4—from V86 mode to PL 0
CE 		INTO 			Pass: 19+TS, Fail: 4 	Interrupt 4—Protected Mode, via task gate
0F 08 		INVD 			15 		Invalidate Entire Cache
0F 01/7 	INVLPG m 		25 		Invalidate TLB Entry
CF 		IRET 			8 		Interrupt return (from real or V86 mode)
CF 		IRET 			10 		Interrupt return (far return and pop flags)
CF 		IRET 			27 		Interrupt return to lesser privilege
CF 		IRET 			TS+10 		Interrupt return, different task (NT = 1)
CF 		IRETD 			10 		Interrupt return (far return and pop flags)
CF 		IRETD 			27 		Interrupt return to lesser privilege
CF 		IRETD 			TS+10 		Interrupt return, different task (NT = 1)
77 cb 		JA rel8 		1 		Jump short if above (CF=0 and ZF=0)
73 cb 		JAE rel8 		1 		Jump short if above or equal (CF=0)
72 cb 		JB rel8 		1 		Jump short if below (CF=1)
76 cb 		JBE rel8 		1 		Jump short if below or equal (CF=1 or ZF=1)
72 cb 		JC rel8 		1 		Jump short if carry (CF=1)
E3 cb 		JCXZ rel8 		6,5 		Jump short if CX register is 0
E3 cb 		JECXZ rel8 		6,5 		Jump short if ECX register is 0
74 cb 		JE rel8 		1 		Jump short if equal (ZF=1)
7F cb 		JG rel8 		1 		Jump short if greater (ZF=0 and SF=OF)
7D cb 		JGE rel8 		1 		Jump short if greater or equal (SF=OF)
7C cb 		JL rel8 		1 		Jump short if less (SF<>OF)
7E cb 		JLE rel8 		1 		Jump short if less or equal (ZF=1 or SF<>OF)
76 cb 		JNA rel8 		1 		Jump short if not above (CF=1 or ZF=1)
72 cb 		JNAE rel8 		1 		Jump short if not above or equal (CF=1)
73 cb 		JNB rel8 		1 		Jump short if not below (CF=0)
77 cb 		JNBE rel8 		1 		Jump short if not below or equal (CF=0 and ZF=0)
73 cb 		JNC rel8 		1 		Jump short if not carry (CF=0)
75 cb 		JNE rel8 		1 		Jump short if not equal (ZF=0)
